coverage_cqr_ignore,length_cqr_ignore,coverage_pcp_xr,length_pcp_xr,pcp_xr_frac_inf,pcp_xr_precision,pcp_xr_clusters,pcp_xr_cluster_r2,coverage_pcp_xz,length_pcp_xz,pcp_xz_frac_inf,pcp_xz_precision,pcp_xz_clusters,pcp_xz_cluster_r2,coverage_pcp_xzhat,length_pcp_xzhat,pcp_xzhat_frac_inf,pcp_xzhat_precision,pcp_xzhat_clusters,pcp_xzhat_cluster_r2,coverage_pcp_xrzhat,length_pcp_xrzhat,pcp_xrzhat_frac_inf,pcp_xrzhat_precision,pcp_xrzhat_clusters,pcp_xrzhat_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.9006666666666666,13.058503571743488,0.903,16.04893677572184,0.0,20.0,1.0,0.0,0.9026666666666666,15.88129138691597,0.0,20.0,1.0,0.0,0.8826666666666667,14.481991711030002,0.0,20.0,1.0,0.0,0.891,15.173070655952841,0.0,20.0,1.0,1.1102230246251565e-16,0.8923333333333333,14.129578808045776,0.0,1.0,4.0,,0.7597895386568226,0.5270959851492302,0.699613553191263,1,4,0.5,False,True,34,-7123.791862506013
0.9136666666666666,13.474290915409954,0.9056666666666666,16.24208559803917,0.0,20.0,1.0,0.0,0.9056666666666666,15.963559453919364,0.0,20.0,1.0,0.0,0.8816666666666667,14.093288087815813,0.0,20.0,1.0,2.220446049250313e-16,0.8796666666666667,13.991829596331831,0.0,20.0,1.0,0.0,0.901,14.249980381718165,0.0,1.0,4.0,,0.7612035096999743,0.5207299298346015,0.6834781888715419,1,4,0.75,False,True,113,-7173.849397558446
0.8803333333333333,12.748710694103822,0.885,14.53830766967538,0.0,20.0,1.0,1.1102230246251565e-16,0.8816666666666667,14.120121022033496,0.0,20.0,1.0,-2.220446049250313e-16,0.8533333333333334,12.532917412790129,0.0,20.0,1.0,0.0,0.8493333333333334,12.36897553866494,0.0,20.0,1.0,0.0,0.8713333333333333,13.145981649537338,0.0,1.0,4.0,,0.7180717568668703,1.8710098127802608,0.8335163696043352,1,4,1.0,False,True,21,-7572.268783631958
0.9076666666666666,13.686728423575264,0.896,16.544786485354003,0.0,20.0,1.0,0.0,0.895,15.89165046575943,0.0,20.0,1.0,0.0,0.8176666666666667,12.433721471102695,0.0,20.0,1.0,0.0,0.7993333333333333,11.542962264604357,0.0,20.0,1.0,0.0,0.867,13.712668427560738,0.0,1.0,4.0,,0.7511521435222185,1.2557996543957894,0.7196372744487045,1,4,1.5,False,True,25,-7240.094126408829
0.902,13.685089071340423,0.9023333333333333,16.211359617858392,0.0,20.0,1.0,2.220446049250313e-16,0.907,16.551459265507244,0.0,20.0,1.0,0.0,0.7023333333333334,8.579079042310525,0.0,20.0,1.0,0.0,0.6886666666666666,8.285178325660981,0.0,20.0,1.0,0.0,0.9016666666666666,14.747335009777409,0.0,1.0,4.0,,0.7655235532252476,0.545491207703019,0.7373737619822752,1,4,2.0,False,True,40,-7228.992443962027
0.8996666666666666,12.48054735331815,0.9113333333333333,16.6371266243033,0.0,20.0,1.0,2.220446049250313e-16,0.9083333333333333,16.32488033931241,0.0,20.0,1.0,0.0,0.906,15.944342527954044,0.0,20.0,1.0,0.0,0.9086666666666666,16.160435571456958,0.0,20.0,1.0,-2.220446049250313e-16,0.8763333333333333,12.812487755709604,0.0,1.0,4.0,,0.7559155091264752,4.396967335971654,0.7378451580911598,2,4,0.5,False,True,34,-7725.031571756108
0.8876666666666667,12.914826857005707,0.9143333333333333,16.881676815276908,0.0,20.0,1.0,2.220446049250313e-16,0.9193333333333333,17.45945402418363,0.0,20.0,1.0,-2.220446049250313e-16,0.8893333333333333,15.315125883873348,0.0,20.0,1.0,0.0,0.8953333333333333,15.780968950444732,0.0,20.0,1.0,0.0,0.8893333333333333,14.196787860126298,0.0,1.0,4.0,,0.7548663579176685,0.531483548844067,0.708508112890491,2,4,0.75,False,True,39,-7186.08170412811
0.8886666666666667,12.975366708575054,0.8893333333333333,14.999410512535402,0.0,20.0,1.0,0.0,0.888,14.990417700323063,0.0,20.0,1.0,-2.220446049250313e-16,0.8373333333333334,12.163315409122845,0.0,20.0,1.0,2.220446049250313e-16,0.8206666666666667,11.399813512829356,0.0,20.0,1.0,0.0,0.8733333333333333,13.316734361214428,0.0,1.0,4.0,,0.7567472698863521,6.723592379418195,0.838168666341901,2,4,1.0,False,True,21,-8077.91417728833
0.898,13.467818293111396,0.914,17.360492378537224,0.0,20.0,1.0,0.0,0.908,16.620099857864233,0.0,20.0,1.0,0.0,0.783,10.767213125863544,0.0,20.0,1.0,0.0,0.7436666666666667,9.520131635774245,0.0,20.0,1.0,0.0,0.891,14.723940539634897,0.0,1.0,4.0,,0.7555639685471406,0.5712369054768026,0.770209531169915,2,4,1.5,False,True,37,-7218.83071784638
0.901,13.470065288638798,0.887,14.918272154335934,0.0,20.0,1.0,0.0,0.8816666666666667,14.7225997601218,0.0,20.0,1.0,0.0,0.6456666666666667,7.461403127361591,0.0,20.0,1.0,-2.220446049250313e-16,0.632,6.974806154907184,0.0,20.0,1.0,1.1102230246251565e-16,0.88,13.494684805850358,0.0,1.0,4.0,,0.7625211469252172,0.5349865499582254,0.7175432758913312,2,4,2.0,False,True,21,-7280.265234684388
