coverage_cqr_ignore,length_cqr_ignore,coverage_pcp_xr,length_pcp_xr,pcp_xr_frac_inf,pcp_xr_precision,pcp_xr_clusters,pcp_xr_cluster_r2,coverage_pcp_xz,length_pcp_xz,pcp_xz_frac_inf,pcp_xz_precision,pcp_xz_clusters,pcp_xz_cluster_r2,coverage_pcp_xzhat,length_pcp_xzhat,pcp_xzhat_frac_inf,pcp_xzhat_precision,pcp_xzhat_clusters,pcp_xzhat_cluster_r2,coverage_pcp_xrzhat,length_pcp_xrzhat,pcp_xrzhat_frac_inf,pcp_xrzhat_precision,pcp_xrzhat_clusters,pcp_xrzhat_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.8986666666666666,4.003120301136463,0.897,3.9562292749077628,0.0,20.0,1.0,0.0,0.8953333333333333,3.9348599547461864,0.0,20.0,1.0,0.0,0.9,4.00823071931639,0.0,20.0,1.0,0.0,0.8946666666666667,3.9635453313249247,0.0,20.0,1.0,0.0,0.889,3.928522437299984,0.0,1.0,4.0,,0.7551393155498303,3.406427309045687,0.7509822639984712,1,4,0.01,False,True,23,-5704.004644666695
0.914,4.232837597603764,0.906,4.0389456551692575,0.0,20.0,1.0,0.0,0.909,4.069027099160571,0.0,20.0,1.0,0.0,0.874,3.7040257397622227,0.0,20.0,1.0,0.0,0.8733333333333333,3.733179062474257,0.0,20.0,1.0,0.0,0.9096666666666666,4.0571625177597825,0.0,1.0,4.0,,0.7565012664628372,3.175050778997542,0.7106074773014734,1,4,0.2,False,True,53,-5761.165532460747
0.893,4.096273011643397,0.8826666666666667,3.878971154244701,0.0,20.0,1.0,-2.220446049250313e-16,0.8923333333333333,3.9809041346259226,0.0,20.0,1.0,1.1102230246251565e-16,0.8073333333333333,3.271766756829714,0.0,20.0,1.0,-2.220446049250313e-16,0.8146666666666667,3.2914951405229282,0.0,20.0,1.0,0.0,0.8926666666666667,3.930798612158818,0.0,1.0,4.0,,0.7562843579121257,3.214643859717279,0.7568614358388718,1,4,0.3,False,True,27,-5797.3436996368355
0.895,4.001524761364709,0.901,3.99168284366912,0.0,20.0,1.0,0.0,0.9003333333333333,4.0299509674685146,0.0,20.0,1.0,1.1102230246251565e-16,0.825,3.2890025182983966,0.0,20.0,1.0,0.0,0.8336666666666667,3.3655239490873834,0.0,20.0,1.0,0.0,0.8983333333333333,3.9884266153407033,0.0,1.0,4.0,,0.7553734650563008,1.4401723988380408,0.7039505135088173,1,4,0.5,False,True,20,-5666.656327385544
0.901,4.204391378177589,0.8946666666666667,4.2443032492423685,0.0,20.0,1.0,-2.220446049250313e-16,0.8983333333333333,4.088950817022628,0.0,20.0,1.0,0.0,0.7606666666666667,2.933181588026483,0.0,20.0,1.0,0.0,0.7573333333333333,2.8757659428180546,0.0,20.0,1.0,0.0,0.8916666666666667,4.198503329619375,0.0,1.0,4.0,,0.7591700550914102,1.4296633549058604,0.7448414220544637,1,4,0.8,False,True,60,-5701.478560270227
0.905,4.7825700879734105,0.896,4.615931461293037,0.0,20.0,1.0,0.0,0.8976666666666666,4.043472441366149,0.0,20.0,1.0,0.0,0.664,2.9190821732791083,0.0,20.0,1.0,-2.220446049250313e-16,0.5996666666666667,2.581007871800287,0.0,20.0,1.0,0.0,0.9036666666666666,4.6396200461968204,0.0,1.0,4.0,,0.7565239844452726,0.529387332774449,0.708698636068683,1,4,1.5,False,True,27,-5801.876858260857
0.8873333333333333,3.8780097277535606,0.894,3.9502626868779336,0.0,20.0,1.0,0.0,0.8923333333333333,3.9697248133432312,0.0,20.0,1.0,0.0,0.899,3.988873249856319,0.0,20.0,1.0,0.0,0.896,3.9249846316228263,0.0,20.0,1.0,0.0,0.8873333333333333,3.867505962494922,0.0,1.0,4.0,,0.766594937856064,5.4444495850446115,0.7128596366446633,2,4,0.01,False,True,21,-5780.472927714303
0.9013333333333333,4.180178272298955,0.8986666666666666,4.082353334207822,0.0,20.0,1.0,1.1102230246251565e-16,0.8963333333333333,4.060659910132451,0.0,20.0,1.0,0.0,0.8836666666666667,3.9321924855193076,0.0,20.0,1.0,0.0,0.8746666666666667,3.8285410849461465,0.0,20.0,1.0,0.0,0.8913333333333333,4.061410532185075,0.0,1.0,4.0,,0.7563880897308282,3.427499736755922,0.7264916472017082,2,4,0.2,False,True,20,-5735.130944381066
0.8956666666666667,3.9522136324647836,0.8996666666666666,3.926554882666579,0.0,20.0,1.0,0.0,0.8933333333333333,3.905476257579067,0.0,20.0,1.0,1.1102230246251565e-16,0.8586666666666667,3.5794487307728167,0.0,20.0,1.0,1.1102230246251565e-16,0.8496666666666667,3.52679642346952,0.0,20.0,1.0,1.1102230246251565e-16,0.8943333333333333,3.895732298726139,0.0,1.0,4.0,,0.7602935560869152,10.801477263083873,0.720893241062814,2,4,0.3,False,True,18,-6033.921054466415
0.8863333333333333,3.952844663178769,0.894,4.043225773696513,0.0,20.0,1.0,0.0,0.899,4.00766321559545,0.0,20.0,1.0,1.1102230246251565e-16,0.7696666666666667,2.966426663642325,0.0,20.0,1.0,1.1102230246251565e-16,0.7736666666666666,3.017142721550301,0.0,20.0,1.0,0.0,0.888,3.917802185963405,0.0,1.0,4.0,,0.7587235808751952,4.5461239788570875,0.713091414882894,2,4,0.5,False,True,38,-5953.088439401656
0.8903333333333333,4.23282346950383,0.9006666666666666,4.275194751082095,0.0,20.0,1.0,0.0,0.8936666666666667,4.133793470819036,0.0,20.0,1.0,0.0,0.707,2.9507600954815074,0.0,20.0,1.0,2.220446049250313e-16,0.692,2.8486118236542315,0.0,20.0,1.0,1.1102230246251565e-16,0.885,4.170164557868225,0.0,1.0,4.0,,0.7553902021859088,1.2994480790587226,0.7197553960916084,2,4,0.8,False,True,36,-5788.27031780749
0.905,4.862639388763324,0.8913333333333333,4.677466549055297,0.0,20.0,1.0,0.0,0.9036666666666666,4.163233900118762,0.0,20.0,1.0,-2.220446049250313e-16,0.6903333333333334,3.075426953129365,0.0,20.0,1.0,-2.220446049250313e-16,0.6263333333333333,2.7404478873347804,0.0,20.0,1.0,0.0,0.901,4.677007279452963,0.0,1.0,4.0,,0.7555837069233322,0.5712385602532231,0.7703385837079377,2,4,1.5,False,True,34,-5887.965332875672
